obj_id,person_id,img_url
p_5942cae0-c1aa-484c-adc8-99e4ddfa376c,74b0218b-69dc-4593-b575-61dc8753c8d1,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132239345_FACE_BACKGROUND_CUT_RL_0
p_d3da8c01-4b8b-4bd1-82ad-a0414af44f78,74b0218b-69dc-4593-b575-61dc8753c8d1,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132240695_FACE_BACKGROUND_CUT_RL_0
p_2be8316b-0e25-441c-90eb-c25c70f6d8dd,74b0218b-69dc-4593-b575-61dc8753c8d1,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132241928_FACE_BACKGROUND_CUT_RL_0
p_aac4eb82-3846-4aa1-bcb2-f5575516a9ae,9c86ea2f-6f5b-416a-b267-5894813185b0,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132241928_FACE_BACKGROUND_CUT_RL_1
p_2b1212b3-cde4-4164-8934-5bd4120b5a79,74b0218b-69dc-4593-b575-61dc8753c8d1,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132244463_FACE_BACKGROUND_CUT_RL_0
p_932786aa-0183-40d2-8a84-9220cb98f19c,74b0218b-69dc-4593-b575-61dc8753c8d1,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132245643_FACE_BACKGROUND_CUT_RL_0
p_6965e75d-d187-45f6-9dec-4629d768faee,74b0218b-69dc-4593-b575-61dc8753c8d1,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132247425_FACE_BACKGROUND_CUT_RL_0
p_613bc2a1-1f4a-4210-8839-bb3dca96c9c0,74b0218b-69dc-4593-b575-61dc8753c8d1,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132249117_FACE_BACKGROUND_CUT_RL_0
p_77d1f18a-1048-403f-a137-0bca7f013fc8,c7c9ba00-b8d2-4c08-bbb1-dc179690d70d,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132249117_FACE_BACKGROUND_CUT_RL_1
p_c2e79590-9968-4fda-97dc-1e99a1e8c81e,74b0218b-69dc-4593-b575-61dc8753c8d1,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132250356_FACE_BACKGROUND_CUT_RL_0
p_f1bdc0bd-7151-405e-9f84-b7395e6456a3,9c86ea2f-6f5b-416a-b267-5894813185b0,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132250356_FACE_BACKGROUND_CUT_RL_1
p_61466c06-ae16-4a15-9c68-6b28fa81592a,74b0218b-69dc-4593-b575-61dc8753c8d1,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132251661_FACE_BACKGROUND_CUT_RL_0
p_3643b01f-ff38-4ed2-943e-1af6c27cac61,9c86ea2f-6f5b-416a-b267-5894813185b0,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132251661_FACE_BACKGROUND_CUT_RL_1
p_40c4d57d-ffba-459c-8c49-28cff9d3372a,74b0218b-69dc-4593-b575-61dc8753c8d1,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132307452_FACE_BACKGROUND_CUT_RL_0
p_da56847b-06b9-45af-960f-13d7b4c096d5,74b0218b-69dc-4593-b575-61dc8753c8d1,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132308786_FACE_BACKGROUND_CUT_RL_0
p_4cdc4409-1dd1-43c0-9664-43d9ba21b78e,eb193105-0cd5-4392-8694-745909367543,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132310070_FACE_BACKGROUND_CUT_RL_1
p_e9f197fa-feda-4370-86da-05ba054873c0,bc0af04c-278a-4fa9-b2b1-10fc80d1a8cd,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132318086_FACE_BACKGROUND_CUT_RL_0
p_4683996c-ac05-430b-9d32-5ca30badb1ba,bc0af04c-278a-4fa9-b2b1-10fc80d1a8cd,http://ladder-longhu-1253924368.cosbj.myqcloud.com/1268109282142982144_10.33.5.242_01_20200628132320737_FACE_BACKGROUND_CUT_RL_2
